trip_id,origin,destination,tsp,train_type,departure,arrival,duration,service_id,Adulto ida,Básico,Elige,Elige Confort,Prémium
00533,04104,71801,Renfe,ALVIA,2025-11-21 12:33:00,2025-11-21 13:09:00,0 days 00:36:00,00533_21-11-2025-11.09,,42.9,46.2,52.65,
00533,04040,71801,Renfe,ALVIA,2025-11-22 11:09:00,2025-11-22 13:09:00,0 days 02:00:00,00533_22-11-2025-11.09,,71.15,77.1,86.75,
00533,78400,71801,Renfe,ALVIA,2025-11-22 12:00:00,2025-11-22 13:09:00,0 days 01:09:00,00533_22-11-2025-11.09,,56.15,60.5,68.95,
00533,04104,71801,Renfe,ALVIA,2025-11-22 12:33:00,2025-11-22 13:09:00,0 days 00:36:00,00533_22-11-2025-11.09,,42.9,46.2,52.65,
00533,04040,71801,Renfe,ALVIA,2025-11-23 11:09:00,2025-11-23 13:09:00,0 days 02:00:00,00533_23-11-2025-11.09,,71.15,77.1,86.75,
00533,78400,71801,Renfe,ALVIA,2025-11-23 12:00:00,2025-11-23 13:09:00,0 days 01:09:00,00533_23-11-2025-11.09,,56.15,60.5,68.95,
00533,04104,71801,Renfe,ALVIA,2025-11-23 12:33:00,2025-11-23 13:09:00,0 days 00:36:00,00533_23-11-2025-11.09,,42.9,46.2,52.65,
00533,04040,71801,Renfe,ALVIA,2025-11-24 11:09:00,2025-11-24 13:09:00,0 days 02:00:00,00533_24-11-2025-11.09,,65.25,71.15,78.85,
00533,78400,71801,Renfe,ALVIA,2025-11-24 12:00:00,2025-11-24 13:09:00,0 days 01:09:00,00533_24-11-2025-11.09,,51.85,56.15,63.2,
00533,04104,71801,Renfe,ALVIA,2025-11-24 12:33:00,2025-11-24 13:09:00,0 days 00:36:00,00533_24-11-2025-11.09,,39.6,42.9,48.3,
00533,04040,71801,Renfe,ALVIA,2025-11-25 11:09:00,2025-11-25 13:09:00,0 days 02:00:00,00533_25-11-2025-11.09,,47.45,53.35,55.2,
00533,78400,71801,Renfe,ALVIA,2025-11-25 12:00:00,2025-11-25 13:09:00,0 days 01:09:00,00533_25-11-2025-11.09,,38.9,43.2,45.95,
